cumulative_positive_tested,current_hospitalized,current_asymptomatic_free,R0,index
5.840011863792884,0.85658534700047,2.1345375600545022,1.2,0
26.275550957564615,2.9826863922823805,5.369218367883406,1.6,1
5.612216690787516,0.7390564988531563,1.6547104494069749,1.1,2
6.277994305781942,1.5385859547784455,3.0064997418654587,2.3,3
4.491564154272331,0.7716265674516167,2.0144241291723755,1.8,4
7.17628432590177,1.3971120918667244,3.199679761408504,2.1,6
9.732717004786352,1.7606896618557217,4.316059579477812,2.0,8
2.450357277414987,0.9504864428278259,0.7645207012063585,2.5,9
14.564992445116296,1.7669685945651645,4.888530062544972,1.7,13
2.9417195867710992,0.3829516496541079,0.8392934850190814,1.0,14
10.211666038454833,1.6325361358276718,4.2382389913132315,1.9,15
2.906946500564876,0.7589580967412577,1.2768574241224093,2.2,17
16.69275879017679,2.2002817270729884,4.489225133448525,1.5,19
17.49508388510158,2.1979199705057626,4.4002621060202,1.4,22
4.609268921081646,1.263105341680348,2.096743475791028,2.4,30
11.837762825425049,1.6052008094565646,3.488122213996712,1.3,60
