cumulative_positive_tested,current_hospitalized,current_asymptomatic_free,R0,index
5.907757449815291,0.8653578907060843,2.2376619702422595,1.2,0
5.546594461838823,0.4772912426266627,1.879226263706308,1.6,1
5.691905234612443,0.7488631577369381,1.7546676163902049,1.1,2
46.88376806782355,4.353137061080174,6.6692312244714875,2.3,3
9.480747735762598,1.6139593981849523,3.9310153654148703,1.8,4
15.505250701464005,3.3369743778522274,7.946798533010483,2.1,6
16.2051712455624,3.1494177471578904,7.404667017269135,2.0,8
46.76530091578721,4.424578943382272,6.741779558945719,2.5,9
7.361687501476315,0.9354792260803676,2.707391244848151,1.7,13
3.015968419586863,0.39115789472937934,0.9186949451949413,1.0,14
16.6581134750705,2.92877494427154,6.5799724114669,1.9,15
36.85613362198182,3.7914526819566503,9.481311865512948,2.2,17
16.917010822544814,2.2404975760431762,4.688177138355531,1.5,19
17.579781694325117,2.2101368255740836,4.5316709107074304,1.4,22
45.19574044805954,4.324936551382866,6.731844604395447,2.4,30
11.932003824100498,1.6186313732348272,3.6355154279099677,1.3,60
