cumulative_positive_tested,current_hospitalized,current_asymptomatic_free,R0,index
5.42931466490595,0.7775340272693256,1.882206228583737,1.2,0
0.723925229258286,0.09728796928054433,0.2429184111695543,1.6,1
5.108135198904338,0.6499032988595336,1.3861198109576574,1.1,2
3.7784280879924146,1.1470019421276294,1.5395966438218167,2.3,3
5.511819116325126,0.7466920605119909,1.9988489557793265,1.8,4
3.6312723021218654,0.7984211661737219,1.425085957742992,2.1,6
3.058419143667973,0.6367925507394896,1.1229963627639574,2.0,8
6.6310164574623105,1.6726723856402073,3.3185215577627476,2.5,9
4.085441364313426,0.517628554193597,1.52789289143211,1.7,13
2.494386271474236,0.3066586711306324,0.6293998506834632,1.0,14
3.39103412883031,0.5449307153645319,1.2340678886062217,1.9,15
6.599103651887493,1.2700009516098,3.076247642765547,2.2,17
8.41323937959169,0.9022524807791963,2.436273830993552,1.5,19
2.6197890704958073,0.28608916060610806,0.6806735745542923,1.4,22
5.707268002001865,1.4550254371985016,2.794214221364574,2.4,30
0.7061226491426161,0.1504158551692962,0.29034748143145866,1.3,60
