cumulative_positive_tested,current_hospitalized,current_asymptomatic_free
8.320285816276074,0.7153757117653915,0.5994439633724361
4.88838206597696,0.4136300813341173,0.2969668454956592
6.361489642851538,3.2928977033177715,2.84292268580766
3.901128241840482,4.990333192439839,4.036164060331927
2.6072012499606716,0.40535067972053834,0.36621489760409076
4.787620301263221,0.523461058508306,0.6393128290346547
5.423050871622092,0.4979551897847982,0.6970697785381568
8.562007219846544,0.5064411546215806,0.7786460384828824
10.59766265111872,0.49967093235737875,0.7692176478376008
8.356512900445217,0.4719251769327855,0.6877006076671495
5.548341650471698,0.4689730131139328,0.640867812353048
3.723597357263261,0.47509789716622375,0.6257860015822418
3.4476032064389774,0.48317571774950946,0.6214083065375369
2.2778622942051894,0.4753643386592977,0.5939861221460939
1.4759363689521108,0.4471044915273894,0.5573417117211659
0.9963696212188544,0.392579157300445,0.5211399961213997
