cumulative_positive_tested,current_hospitalized,current_asymptomatic_free,R0,index
5.625457154918973,0.7925677283707416,2.0104518962759714,1.2,0
16.866828707765283,1.7909789393914375,4.536606386832187,1.6,1
5.380299598626087,0.6612268909448071,1.5196617545203155,1.1,2
8.0882058529126,1.5787026823633592,3.944038591455158,2.3,3
17.089887059036055,2.3029984982779155,5.673671722301684,1.8,4
12.30097374426942,2.096791989441922,5.406172708697068,2.1,6
13.276829264650843,2.0968606494865925,5.313632253697044,2.0,8
7.1340030005781285,1.5967061069475976,3.621631444795508,2.5,9
19.494989988492662,2.2704068024346706,5.698474224376678,1.7,13
2.7518768479899354,0.3150661552040203,0.7205429364116568,1.0,14
15.836461231035937,2.314322883490513,5.720190752355676,1.9,15
13.480650473228254,2.5141603387406,6.382606399546172,2.2,17
18.89656965290622,1.5864445314972027,4.091756903307061,1.5,19
4.750872508417933,0.39842791236450764,1.4026799586471763,1.4,22
9.185698647298315,1.9681774745577263,4.872888034253371,2.4,30
11.521034144547112,1.509244376697038,3.314682859950317,1.3,60
