cumulative_positive_tested,current_hospitalized,current_asymptomatic_free,R0,index
3.033858533088783,0.38222696232701625,1.1079080841465998,1.6,1
2.115887801963404,0.15604401379886437,0.33991722246345746,1.1,2
4.502769087603215,1.042978812034036,1.8158779770399396,2.3,3
6.416652925170094,0.868423568718057,2.2723916566309175,1.8,4
4.33569367747056,0.8033240385714334,1.649537641625655,2.1,6
3.5214705543492957,0.6193572846594615,1.2377708442035478,2.0,8
7.461337280173052,1.7012058565353096,3.7677232736963973,2.5,9
6.23270395205523,0.8136667941284808,2.3085593296000835,1.7,13
2.386264546813463,0.1817347622752187,0.40185817166315885,1.0,14
5.745716241163957,0.8376040592112042,2.1855393825254943,1.9,15
7.749916529366845,1.3101290196936388,3.532380043494074,2.2,17
9.844451136624185,1.0127456424280217,2.723342374362444,1.5,19
0.3848606153086622,0.1180983941602079,0.1914150951937627,1.4,22
6.829070835966815,1.4691823819605936,3.384832689980457,2.4,30
5.661215219013315,0.44799729092121165,1.0760681292458592,1.3,60
