cumulative_positive_tested,current_hospitalized,current_asymptomatic_free,R0,index
1.5553325058510432,0.2528364890117392,0.4871171716941028,1.2,0
0.9588302315322974,0.1397726419586887,0.36470094239335327,1.6,1
1.825180472271066,0.23795013760892958,0.3331924072453846,1.1,2
3.347228082172492,0.8074481077865548,1.1882142492946828,2.3,3
5.410325336980819,0.7500637485127704,1.9877329907743553,1.8,4
3.3726697505486642,0.5978860676470559,1.2168757001399988,2.1,6
2.7609583766247088,0.48002351006896915,0.9082413354296437,2.0,8
6.035561287459576,1.2047323971560133,2.9075098912364554,2.5,9
4.690030052793654,0.6046363624108464,1.7677168160965568,1.7,13
1.715616385191365,0.20701581991032575,0.3646587282030204,1.0,14
3.6038114600507853,0.5466977451619353,1.3288351000158407,1.9,15
6.028216370557484,1.0022489811451816,2.7393655259132386,2.2,17
8.841818567298587,0.9239162406632777,2.5341501112260314,1.5,19
1.62438324061444,0.19913631471771942,0.4123499905410562,1.4,22
5.28863063248208,1.0526110239518323,2.446906459675338,2.4,30
3.744174458433453,0.3262935816802481,0.7415083218674915,1.3,60
