cumulative_positive_tested,current_hospitalized,current_asymptomatic_free,R0,index
5.840075220275553,0.8519638900854084,2.152653042724885,1.2,0
11.648261361598971,1.2937619332871941,3.3317141171781652,1.6,1
5.621231290675465,0.7345343883223437,1.6681559197388194,1.1,2
46.67282158342599,4.293443831562369,6.232346963460823,2.3,3
11.151778480414343,1.494020155621517,3.9985960705907724,1.8,4
5.513817100969115,1.4560889070636345,2.7380220506442217,2.1,6
7.37471394455809,1.4601047015651283,3.1933008968478758,2.0,8
46.62350827840566,4.382916364367698,6.413897879454963,2.5,9
13.311432364918057,1.579951014122838,4.181788119968614,1.7,13
2.9512274910512724,0.37818863804520764,0.8380495532581679,1.0,14
9.925288660759675,1.5525691033733524,3.8481442705279907,1.9,15
4.166602533999241,1.2082732712494701,2.376751986789704,2.2,17
8.77748680453677,0.9346071695933219,2.3010943634058303,1.5,19
17.40848819097218,2.1769036329783886,4.364312455300281,1.4,22
45.050864365869444,4.283020154684155,6.392516512042599,2.4,30
11.833999379372596,1.5992655137498126,3.5255163777357654,1.3,60
